sub_route_name,origin_name,origin_id,destination_name,dest_id,headsign_name,headsign_id,mode,distance,time_secs
Wuse Market - Wuse Market,Wuse Market,WM2WU,Wuse Market,WM1WU,Wuse Market,WM1WU,Walking,96.84555127189977,72.05770183921113
Arab Contractors - Utako Market,Arab Contractors,ARB3KO,Utako Market,UTMKO,Utako Market,UTMKO,Walking,213.59207190289686,158.92267254679825
Kado Traffic Light - Abdul Mora Street,Kado Traffic Light,KDT2DO,Abdul Mora Street,ADMDO,Abdul Mora Street,ADMDO,Walking,217.08076106785018,161.518423413579
NNPC - First Bank,NNPC,NPCPA,First Bank,FBNPA,First Bank,FBNPA,Walking,229.32997420959077,170.63242128689788
UTC - Garki Market,UTC,UTCGK,Garki Market,GMK1GK,Garki Market,GMK1GK,Walking,287.1741265322751,213.67122509841897
NHIS - Setraco HQ,NHIS,NHIS2BI,Setraco HQ,SETRDO,Setraco HQ,SETRDO,Walking,293.924410410775,218.69375774611234
Hon. Justice George Street - John Kadiya Street,Hon. Justice George Street,HJGASK,John Kadiya Street,JHKDASK,John Kadiya Street,JHKDASK,Walking,306.42998218633574,227.99849865054742
UTC - Garki Market,UTC,UTC2GK,Garki Market,GMK1GK,Garki Market,GMK1GK,Walking,307.1048498403192,228.50063232166607
Mpape Junction - PW Junction,Mpape Junction,MPE2MA,PW Junction,PWJSD,PW Junction,PWJSD,Walking,319.0700875429019,237.40333894561152
Garki Market - Area 8,Garki Market,GMK2GK,Area 8,A8RGK,Area 8,A8RGK,Walking,347.16184271944456,258.30494249958673
Area 8 - Garki Market,Area 8,A8LGK,Garki Market,GMK1GK,Garki Market,GMK1GK,Walking,370.5194956859354,275.68414857584474
Wuse General Hospital - Zone 3,Wuse General Hospital,WGH2WU,Zone 3,ZN3WU,Zone 3,ZN3WU,Walking,370.8304428085258,275.91550804205787
Cele Bus stop - Banex Bus Stop,Cele Bus stop,CEL2WU,Banex Bus Stop,BNXWU,Banex Bus Stop,BNXWU,Walking,378.9288408638632,281.9411018332315
Foreign Affairs - Eagle Square,Foreign Affairs,FRA1CBD,Eagle Square,ESQ2CBD,Eagle Square,ESQ2CBD,Walking,385.49136883186156,286.8239351427541
Okanga Plaza - Wuye Modern Market,Okanga Plaza,OKNYE,Wuye Modern Market,FAM1YE,Wuye Modern Market,FAM1YE,Walking,387.9770300868285,288.67338548127117
Movida Lounge - Oduduwa St (Kubwa),Movida Lounge,MOVSD,Oduduwa St (Kubwa),ODUKSD,Oduduwa St (Kubwa),ODUKSD,Walking,403.1509800732497,299.96352684021554
Oduduwa St (Kubwa) - Movida Lounge,Oduduwa St (Kubwa),ODUKSD,Movida Lounge,MOVSD,Movida Lounge,MOVSD,Walking,403.1509800732497,299.96352684021554
Amac - Area 10 Bus Stop,Amac,AMC1GK,Area 10 Bus Stop,A10BGK,Area 10 Bus Stop,A10BGK,Walking,409.9037200136398,304.9878869149106
