origin_id,dest_id,trip_key,distance,time_secs
BYIIKD,BYI2IKD,BYIIKD_BYI2IKD,1.0004632855433795,0.7443923255531097
BYI2IKD,BYIIKD,BYI2IKD_BYIIKD,1.0004632855433795,0.7443923255531097
AYOIKD,AYO2IKD,AYOIKD_AYO2IKD,2.177904879487303,1.6204649400947193
AYO2IKD,AYOIKD,AYO2IKD_AYOIKD,2.177904879487303,1.6204649400947193
FFJAMW,FFJ2AMW,FFJAMW_FFJ2AMW,2.3349474946225652,1.7373121239751228
FFJ2AMW,FFJAMW,FFJ2AMW_FFJAMW,2.3349474946225652,1.7373121239751228
321BAMW,321AMW,321BAMW_321AMW,3.215515217147273,2.392496441329816
321AMW,321BAMW,321AMW_321BAMW,3.215515217147273,2.392496441329816
ISWIKD,ISW2IKD,ISWIKD_ISW2IKD,3.4293428395923065,2.5515943746966565
ISW2IKD,ISWIKD,ISW2IKD_ISWIKD,3.4293428395923065,2.5515943746966565
LW2SLR,LWSLR,LW2SLR_LWSLR,3.615851767092238,2.690365898134105
LWSLR,LW2SLR,LWSLR_LW2SLR,3.615851767092238,2.690365898134105
NRJ2SLR,NRJSLR,NRJ2SLR_NRJSLR,3.780551399990589,2.8129102678501403
NRJSLR,NRJ2SLR,NRJSLR_NRJ2SLR,3.780551399990589,2.8129102678501403
CLEOJO,CLE2OJO,CLEOJO_CLE2OJO,4.564275011624043,3.396037955077413
CLE2OJO,CLEOJO,CLE2OJO_CLEOJO,4.564275011624043,3.396037955077413
ORSH2KD,ORSHKD,ORSH2KD_ORSHKD,5.198318211847502,3.86779628857701
ORSHKD,ORSH2KD,ORSHKD_ORSH2KD,5.198318211847502,3.86779628857701
MCAMW,MC2AMW,MCAMW_MC2AMW,5.524342726149642,4.110374052194674
MC2AMW,MCAMW,MC2AMW_MCAMW,5.524342726149642,4.110374052194674
MRSAMW,MRS2AMW,MRSAMW_MRS2AMW,5.600116793216846,4.166753566381582
MRS2AMW,MRSAMW,MRS2AMW_MRSAMW,5.600116793216846,4.166753566381582
OLAIKD,OLA2IKD,OLAIKD_OLA2IKD,6.33314175756056,4.712159045803988
OLA2IKD,OLAIKD,OLA2IKD_OLAIKD,6.33314175756056,4.712159045803988
AKD2AMW,AKDAMW,AKD2AMW_AKDAMW,6.453990229521094,4.802076063631766
AKDAMW,AKD2AMW,AKDAMW_AKD2AMW,6.453990229521094,4.802076063631766
511BAMW,511AMW,511BAMW_511AMW,6.560624600308069,4.8814171133244555
511AMW,511BAMW,511AMW_511BAMW,6.560624600308069,4.8814171133244555
ILFAJR,ILF2AJR,ILFAJR_ILF2AJR,6.768107588365344,5.035794336581357
ILF2AJR,ILFAJR,ILF2AJR_ILFAJR,6.768107588365344,5.035794336581357
PKBAJR,PKB2AJR,PKBAJR_PKB2AJR,6.872594862003301,5.1135378437524555
PKB2AJR,PKBAJR,PKB2AJR_PKBAJR,6.872594862003301,5.1135378437524555
AFSOSH,AFS2OSH,AFSOSH_AFS2OSH,7.071056166456145,5.261202504803679
AFS2OSH,AFSOSH,AFS2OSH_AFSOSH,7.071056166456145,5.261202504803679
IYT2AJR,IYTAJR,IYT2AJR_IYTAJR,7.243602404476243,5.389585122378157
IYTAJR,IYT2AJR,IYTAJR_IYT2AJR,7.243602404476243,5.389585122378157
IYOAGG,IYO2AGG,IYOAGG_IYO2AGG,7.5024667108248355,5.58219249317324
IYO2AGG,IYOAGG,IYO2AGG_IYOAGG,7.5024667108248355,5.58219249317324
32BAMW,32AMW,32BAMW_32AMW,7.550878707247775,5.618213323845071
32AMW,32BAMW,32AMW_32BAMW,7.550878707247775,5.618213323845071
CP2AJR,CPAJR,CP2AJR_CPAJR,7.613227326691485,5.664603665693068
CPAJR,CP2AJR,CPAJR_CP2AJR,7.613227326691485,5.664603665693068
