origin_id,dest_id,trip_key,distance,time_secs
BYI2IKD,BYIIKD,BYI2IKD_BYIIKD,1.0004632855433795,0.7443923255531097
BYIIKD,BYI2IKD,BYIIKD_BYI2IKD,1.0004632855433795,0.7443923255531097
IRWIKD,BIRWIKD,IRWIKD_BIRWIKD,1.1117394999453216,0.8271871279355071
BIRWIKD,IRWIKD,BIRWIKD_IRWIKD,1.1117394999453216,0.8271871279355071
AYO2IKD,AYOIKD,AYO2IKD_AYOIKD,2.177904879487303,1.6204649400947193
AYOIKD,AYO2IKD,AYOIKD_AYO2IKD,2.177904879487303,1.6204649400947193
FFJAMW,FFJ2AMW,FFJAMW_FFJ2AMW,2.3349474946225652,1.7373121239751228
FFJ2AMW,FFJAMW,FFJ2AMW_FFJAMW,2.3349474946225652,1.7373121239751228
CLSLR,EMMSLR,CLSLR_EMMSLR,2.381951673778009,1.7722854715610183
EMMSLR,CLSLR,EMMSLR_CLSLR,2.381951673778009,1.7722854715610183
321BAMW,321AMW,321BAMW_321AMW,3.215515217147273,2.392496441329816
321AMW,321BAMW,321AMW_321BAMW,3.215515217147273,2.392496441329816
OLROJO,OLR2OJO,OLROJO_OLR2OJO,3.2413555494337203,2.4117228790429466
OLR2OJO,OLROJO,OLR2OJO_OLROJO,3.2413555494337203,2.4117228790429466
T2GBAPP,T2G2APP,T2GBAPP_T2G2APP,3.428902306164594,2.5512665968486563
T2G2APP,T2GBAPP,T2G2APP_T2GBAPP,3.428902306164594,2.5512665968486563
ISWIKD,ISW2IKD,ISWIKD_ISW2IKD,3.4293428395923065,2.5515943746966565
ISW2IKD,ISWIKD,ISW2IKD_ISWIKD,3.4293428395923065,2.5515943746966565
LW2SLR,LWSLR,LW2SLR_LWSLR,3.615851767092238,2.690365898134105
LWSLR,LW2SLR,LWSLR_LW2SLR,3.615851767092238,2.690365898134105
NRJ2SLR,NRJSLR,NRJ2SLR_NRJSLR,3.780551399990589,2.8129102678501403
NRJSLR,NRJ2SLR,NRJSLR_NRJ2SLR,3.780551399990589,2.8129102678501403
PPLAJR,PPL2AJR,PPLAJR_PPL2AJR,4.261837905248853,3.171010346167301
PPL2AJR,PPLAJR,PPL2AJR_PPLAJR,4.261837905248853,3.171010346167301
CLEOJO,CLE2OJO,CLEOJO_CLE2OJO,4.564275011624043,3.396037955077413
CLE2OJO,CLEOJO,CLE2OJO_CLEOJO,4.564275011624043,3.396037955077413
OBLB2LI,OBLBLI,OBLB2LI_OBLBLI,4.681692308627764,3.4834020153480387
OBLBLI,OBLB2LI,OBLBLI_OBLB2LI,4.681692308627764,3.4834020153480387
BM12BKSF,BM12KSF,BM12BKSF_BM12KSF,4.966007781120415,3.694946265714594
BM12KSF,BM12BKSF,BM12KSF_BM12BKSF,4.966007781120415,3.694946265714594
ORSH2KD,ORSHKD,ORSH2KD_ORSHKD,5.198318211847502,3.86779628857701
ORSHKD,ORSH2KD,ORSHKD_ORSH2KD,5.198318211847502,3.86779628857701
MCAMW,MC2AMW,MCAMW_MC2AMW,5.524342726149642,4.110374052194674
MC2AMW,MCAMW,MC2AMW_MCAMW,5.524342726149642,4.110374052194674
DOTETI,DELETI,DOTETI_DELETI,5.5823925271048935,4.153565868381617
DELETI,DOTETI,DELETI_DOTETI,5.5823925271048935,4.153565868381617
MRSAMW,MRS2AMW,MRSAMW_MRS2AMW,5.600116793216846,4.166753566381582
MRS2AMW,MRSAMW,MRS2AMW_MRSAMW,5.600116793216846,4.166753566381582
